@relation Mushroom-new
@attribute cap-shape {c,b,f,k,s,x}
@attribute cap-surface {y,s,g,f}
@attribute cap-color {c,b,e,g,n,p,r,u,w,y}
@attribute odor {a,c,f,m,l,n,p,s,y}
@attribute gill-attachment {a,f}
@attribute gill-spacing {c,w}
@attribute stalk-root {r,c,b,e,?}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,m,l,p,u,w}
@attribute class {p,e}
@data
b,s,y,a,f,c,c,s,m,e
x,y,n,p,f,c,e,v,g,p
b,y,y,l,f,c,c,s,m,e
b,y,w,a,f,c,c,n,m,e
b,s,w,l,f,c,c,s,m,e
f,s,w,p,f,c,e,v,g,p
x,y,y,a,f,c,c,n,m,e
x,y,w,l,f,c,c,n,m,e
f,f,n,n,f,c,e,y,u,e
x,s,y,a,f,w,b,v,d,e
b,s,y,l,f,c,c,n,m,e
x,y,w,p,f,c,e,s,u,p
x,y,y,l,f,c,c,n,m,e
x,y,n,l,f,c,r,y,p,e
b,y,y,l,f,c,c,s,m,e
x,f,y,l,f,w,b,v,d,e
s,f,g,n,f,c,e,v,u,e
x,y,n,p,f,c,e,s,u,p
x,f,y,a,f,w,b,v,d,e
b,s,y,l,f,c,c,s,m,e
x,s,n,p,f,c,e,s,u,p
x,s,y,a,f,c,c,n,g,e
b,s,w,l,f,c,c,n,m,e
x,y,w,p,f,c,e,s,u,p
x,s,g,n,f,w,e,a,g,e
x,y,y,a,f,c,c,n,g,e
b,s,w,a,f,c,c,n,m,e
b,y,w,l,f,c,c,s,m,e
x,y,w,p,f,c,e,v,g,p
b,s,y,a,f,c,c,s,m,e
x,y,y,l,f,c,c,n,g,e
x,y,y,a,f,c,c,s,m,e
b,s,y,a,f,c,c,s,g,e
x,y,w,p,f,c,e,v,u,p
x,f,n,n,f,w,e,a,g,e
s,f,g,n,f,c,e,y,u,e
f,f,w,n,f,w,e,a,g,e
x,s,n,p,f,c,e,s,g,p
x,y,w,p,f,c,e,s,u,p
x,s,n,p,f,c,e,s,u,p
b,y,y,a,f,c,c,s,g,e
x,y,y,l,f,c,r,y,p,e
x,f,n,n,f,c,e,y,u,e
x,y,w,p,f,c,e,v,g,p
x,s,y,a,f,c,c,n,m,e
x,y,w,a,f,c,c,n,g,e
