@relation zoo-new
@attribute animal {antelope,pheasant,sparrow,ladybird,wren,housefly,mongoose,chicken,gnat,scorpion,gull,piranha,seasnake,dogfish,parakeet,elephant,vulture,bear,clam,flea,flamingo,crow,hare,pitviper,lion,lobster,seal,girl,puma,vampire,sealion,lark,stingray,bass,carp,sole,termite,slug,newt,pike,tortoise,seahorse,aardvark,ostrich,wolf,hamster,raccoon,wallaby,fruitbat,octopus,porpoise,vole,swan,wasp,duck,boar,herring,frog,oryx,reindeer,opossum,polecat,crab,rhea,calf,kiwi,chub,squirrel,starfish,skua,penguin,skimmer,worm,haddock,lynx,tuatara,seawasp,mink,pony,moth,dolphin,deer,mole,pussycat,catfish,cavy,cheetah,honeybee,goat,toad,leopard,tuna,hawk,dove,platypus,gorilla,giraffe,crayfish,buffalo,slowworm}
@attribute eggs {true,false}
@attribute milk {false,true}
@attribute airborne {true,false}
@attribute aquatic {true,false}
@attribute predator {false,true}
@attribute venomous {true,false}
@attribute fins {true,false}
@attribute legs {0,2,5,4,6,8}
@attribute tail {true,false}
@attribute type {reptile,fish,invertebrate,insect,amphibian,mammal,bird}
@data
aardvark,false,true,false,false,true,false,false,4,false,mammal
antelope,false,true,false,false,false,false,false,4,true,mammal
bass,true,false,false,true,true,false,true,0,true,fish
bear,false,true,false,false,true,false,false,4,false,mammal
boar,false,true,false,false,true,false,false,4,true,mammal
buffalo,false,true,false,false,false,false,false,4,true,mammal
calf,false,true,false,false,false,false,false,4,true,mammal
carp,true,false,false,true,false,false,true,0,true,fish
catfish,true,false,false,true,true,false,true,0,true,fish
cavy,false,true,false,false,false,false,false,4,false,mammal
cheetah,false,true,false,false,true,false,false,4,true,mammal
chicken,true,false,true,false,false,false,false,2,true,bird
chub,true,false,false,true,true,false,true,0,true,fish
clam,true,false,false,false,true,false,false,0,false,invertebrate
crab,true,false,false,true,true,false,false,4,false,invertebrate
crayfish,true,false,false,true,true,false,false,6,false,invertebrate
crow,true,false,true,false,true,false,false,2,true,bird
deer,false,true,false,false,false,false,false,4,true,mammal
dogfish,true,false,false,true,true,false,true,0,true,fish
dolphin,false,true,false,true,true,false,true,0,true,mammal
dove,true,false,true,false,false,false,false,2,true,bird
duck,true,false,true,true,false,false,false,2,true,bird
